grid,stake,geometry
BT,J5,657882.084628001|6763269.55343028
BT,J6,657899.272368314|6763333.89070131
BT,J7,657904.523503728|6763362.00690323
BT,J8,657903.932962119|6763363.09587228
BT,J9,657914.935800482|6763395.92958616
BT,K0,657807.039386809|6763129.03023174
BT,K1,657814.406006147|6763158.35572885
BT,K2,657822.854404669|6763187.72943296
BT,K3,657830.662521804|6763219.30521818
BT,K4,657836.996362299|6763247.46950018
BT,K5,657847.657671547|6763275.82658279
BT,K6,657866.770947973|6763321.28957388
BT,K7,657874.086924768|6763351.72828855
BT,K8,657875.308333107|6763372.97316197
BT,K9,657886.951521937|6763403.60473539
BT,L0,657778.215007358|6763143.36063491
BT,L1,657785.928774744|6763164.89452613
BT,L2,657796.198542189|6763189.888121
BT,L3,657804.498270837|6763222.60101389
BT,L4,657810.931456089|6763248.53909157
BT,L5,657819.330014279|6763279.02586939
BT,L6,657829.793014563|6763311.83520815
BT,L7,657848.563689092|6763352.82169602
BT,L8,657846.440468841|6763376.14811881
BT,L9,657854.7391315|6763408.86114631
BT,M0,657747.227000708|6763157.59493615
BT,M1,657758.92172051|6763187.11298111
BT,M2,657767.370476555|6763216.48654833
BT,M3,657775.773748216|6763234.70527272
BT,M4,657784.515331729|6763269.66836229
BT,M5,657792.670516511|6763293.45251926
BT,M6,657803.23284878|6763324.03562178
BT,M7,657820.380936483|6763364.94968142
BT,M8,657817.027300612|6763391.56716233
BT,N0,657720.273726112|6763166.43266491
BT,N1,657731.919078957|6763197.06369668
BT,N2,657735.057560152|6763223.97022227
BT,N3,657752.558073635|6763244.82444308
BT,N4,657755.840807663|6763280.65969939
BT,N5,657764.879791673|6763308.94427228
BT,N6,657777.015549796|6763340.71263148
BT,N7,657792.004446801|6763369.26225392
BT,N8,657790.174675401|6763398.17818464
BT,O0,657692.874768519|6763185.28830377
BT,O1,657701.819461069|6763203.53092119
BT,O2,657707.464768104|6763235.01011633
BT,O3,657721.07555751|6763270.18973959
BT,P0,657664.203757269|6763184.01244915
BT,P1,657673.243780695|6763212.29677294
BT,P2,657676.725502144|6763243.67962858
BT,P3,657686.355712452|6763270.87498442
BT,Q0,657635.578516887|6763193.89168399
BT,Q1,657645.898732434|6763217.77175153
BT,Q2,657659.757835532|6763247.38573412
BT,Q3,657667.125305174|6763276.71091463
BT,Q4,657670.606958675|6763308.09376595
BT,R0,657606.854426613|6763205.99730671
BT,R1,657620.271975965|6763233.36090877
BT,R2,657626.755973895|6763258.18555499
BT,R3,657632.154205148|6763295.23002013
BT,S0,657578.130541016|6763218.10315964
BT,S1,660295.941792547|6763362.32102288
BT,S2,657597.491464952|6763270.26718176
BT,S3,657609.434492172|6763294.21932621
BT,T0,657547.635519441|6763233.47632382
BT,T1,657563.807635911|6763259.84689342
SU,-31,660655.251175696|6761306.30128454
SU,-32,660633.526898631|6761283.0104096
SU,-33,660620.512948748|6761258.99889878
SU,-34,660600.122725897|6761230.1920298
SU,-35,660582.136080477|6761208.18613561
