"year","year_type","grid","squirrel_id","sex","cache_size_new","total_cones","log_cache_size_new","log_total_cones"
2018,"non-mast","KL",21505,"F",811.954438797325,4.477,6.70067506713777,1.70055750580158
2015,"post-mast","KL",21513,"M",0,0.006,0,0.00598207167754747
2016,"non-mast","KL",21513,"M",0,2.342,0,1.2065694301732
2017,"non-mast","KL",21513,"M",3108.8677301149,60.19,8.04233547375915,4.11398377747445
2018,"non-mast","KL",21513,"M",1845.97148164902,4.477,7.52130253971675,1.70055750580158
2015,"post-mast","KL",21545,"F",0,0.006,0,0.00598207167754747
2016,"non-mast","KL",21567,"F",0,2.342,0,1.2065694301732
2016,"non-mast","KL",21578,"F",22.3183978098775,2.342,3.14924265457132,1.2065694301732
2017,"non-mast","KL",21578,"F",884.93647230025,60.19,6.78664524634167,4.11398377747445
2018,"non-mast","KL",21578,"F",0,4.477,0,1.70055750580158
2015,"post-mast","SU",21665,"F",0,0.006,0,0.00598207167754747
2018,"non-mast","SU",21676,"M",2114.00823986248,1.639,7.65681398738886,0.970400057521187
2019,"mast","SU",21676,"M",27740.9176296674,2333.26,10.2306998201626,7.75545020338613
2020,"post-mast","SU",21676,"M",1557.55364109539,18.315,7.35151351702728,2.96088199611824
2021,"non-mast","SU",21676,"M",0,0.329,0,0.284426779731108
2015,"post-mast","KL",21685,"M",0,0.006,0,0.00598207167754747
2015,"post-mast","KL",21686,"M",0,0.006,0,0.00598207167754747
2016,"non-mast","KL",21716,"M",0,2.342,0,1.2065694301732
2017,"non-mast","KL",21716,"M",4042.05164792497,60.19,8.30475504421289,4.11398377747445
2018,"non-mast","KL",21716,"M",0,4.477,0,1.70055750580158
2015,"post-mast","KL",21822,"F",0,0.006,0,0.00598207167754747
2016,"non-mast","KL",21823,"M",0,2.342,0,1.2065694301732
2016,"non-mast","SU",21853,"M",23.7582944427728,3.118,3.20916056187244,1.4153676086056
2017,"non-mast","SU",21853,"M",3518.58377202057,44.479,8.1660980150154,3.81725068095371
2016,"non-mast","SU",21865,"M",2107.39780532055,3.118,7.65368360405875,1.4153676086056
2017,"non-mast","SU",21865,"M",0,44.479,0,3.81725068095371
2018,"non-mast","SU",21865,"M",0,1.639,0,0.970400057521187
2016,"non-mast","SU",21866,"M",258.39599575776,3.118,5.55835583520869,1.4153676086056
2015,"post-mast","SU",21867,"F",0,0.006,0,0.00598207167754747
2016,"non-mast","SU",21867,"F",0,3.118,0,1.4153676086056
2017,"non-mast","SU",21867,"F",6841.69066781777,44.479,8.8309363057539,3.81725068095371
2016,"non-mast","SU",21868,"M",0,3.118,0,1.4153676086056
2017,"non-mast","SU",21868,"M",1415.2874904422,44.479,7.25579428361918,3.81725068095371
2018,"non-mast","SU",21868,"M",183.815895158478,1.639,5.21936016827102,0.970400057521187
2016,"non-mast","KL",21878,"M",95.9931088596881,2.342,4.5746399332961,1.2065694301732
2017,"non-mast","KL",21878,"M",3732.38660538987,60.19,8.22507103781413,4.11398377747445
2015,"post-mast","KL",21882,"F",0,0.006,0,0.00598207167754747
2015,"post-mast","SU",21907,"F",0,0.006,0,0.00598207167754747
2016,"non-mast","SU",21907,"F",0,3.118,0,1.4153676086056
2017,"non-mast","SU",21907,"F",0,44.479,0,3.81725068095371
2015,"post-mast","SU",21908,"F",0,0.006,0,0.00598207167754747
2016,"non-mast","SU",21908,"F",0,3.118,0,1.4153676086056
2015,"post-mast","KL",21910,"F",0,0.006,0,0.00598207167754747
2016,"non-mast","KL",21910,"F",0,2.342,0,1.2065694301732
2015,"post-mast","KL",21911,"F",0,0.006,0,0.00598207167754747
2015,"post-mast","SU",21984,"F",0,0.006,0,0.00598207167754747
2016,"non-mast","SU",21984,"F",0,3.118,0,1.4153676086056
2017,"non-mast","SU",21984,"F",1754.0558982543,44.479,7.47025598624989,3.81725068095371
