"squirrel_id","year","n_middens"
4244,"1998",2
4244,"1999",1
4245,"1993",2
4245,"1994",1
4245,"1995",2
4245,"1996",1
4245,"1997",1
4246,"1999",2
4254,"1994",3
4254,"1995",3
4254,"1996",3
4254,"1997",3
4254,"1998",3
4254,"1999",1
4255,"1998",1
4255,"1999",1
4257,"1997",1
4257,"1998",2
4257,"1999",2
4272,"1994",3
4272,"1995",2
4272,"1996",1
4272,"1997",1
4273,"1996",1
4273,"1997",1
4273,"1998",1
4284,"1999",1
4285,"1997",1
4285,"1998",1
4285,"1999",2
4286,"1998",2
4286,"1999",2
4296,"1996",1
4296,"1997",1
4296,"1998",1
4296,"1999",1
4302,"1994",3
4302,"1995",4
4302,"1996",2
4302,"1997",3
4302,"1998",2
4306,"1999",1
4308,"1999",1
4309,"1994",1
4309,"1995",1
4309,"1996",1
4309,"1997",1
4309,"1998",1
4311,"1999",1
4312,"1994",1
4312,"1995",1
4312,"1996",1
4312,"1997",2
4312,"1998",1
4312,"1999",2
4316,"1995",1
4316,"1996",1
4316,"1997",1
4316,"1998",1
4316,"1999",2
4320,"1999",2
4322,"1999",3
4325,"1995",1
4325,"1996",2
4325,"1997",2
4325,"1998",1
4325,"1999",1
4343,"1999",1
4344,"1993",2
4344,"1994",1
4344,"1995",1
4344,"1996",1
4344,"1997",1
4344,"1998",1
4344,"1999",1
4345,"1995",1
4345,"1996",2
4345,"1997",2
4345,"1998",1
4345,"1999",3
4347,"1994",1
4347,"1995",2
4347,"1996",1
4347,"1997",1
4347,"1998",1
4347,"1999",1
4348,"1994",1
4348,"1995",1
4348,"1999",1
4350,"1999",2
4353,"1999",1
4356,"1999",1
4357,"1999",1
4358,"1999",1
4359,"1998",1
4359,"1999",1
4360,"1999",2
4361,"1995",1
4361,"1996",1
4361,"1997",2
4361,"1998",1
4361,"1999",1
4362,"1999",2
4364,"1997",2
4364,"1998",1
4369,"1999",1
4370,"1994",2
4370,"1995",3
4370,"1996",2
4370,"1997",2
4370,"1999",1
4371,"1994",1
4371,"1995",2
4371,"1997",1
4371,"1999",1
4372,"1998",2
4372,"1999",1
4373,"1999",1
4374,"1999",1
4375,"1999",1
