grid,stake,north,west,east
SU,B20,60.95067,138.04172,-138.04172
SU,C1,60.95495,138.03599,-138.03599
SU,C2,60.95475,138.03631,-138.03631
SU,C3,60.95451,138.03663,-138.03663
SU,C4,60.9543,138.03696,-138.03696
SU,C5,60.95408,138.03739,-138.03739
SU,C6,60.9539,138.03722,-138.03722
SU,C7,60.95365,138.03806,-138.03806
SU,C8,60.95349,138.03839,-138.03839
SU,C9,60.95326,138.03872,-138.03872
SU,C10,60.95304,138.03907,-138.03907
SU,C11,60.95277,138.0395,-138.0395
SU,C12,60.95253,138.03979,-138.03979
SU,C13,60.95234,138.04005,-138.04005
SU,C14,60.95212,138.04038,-138.04038
SU,C15,60.95187,138.04081,-138.04081
SU,C16,60.95168,138.04116,-138.04116
SU,C17,60.95145,138.04149,-138.04149
SU,C18,60.95123,138.04178,-138.04178
SU,C19,60.95103,138.04215,-138.04215
SU,C20,60.95079,138.0425,-138.0425
SU,D1,60.9551,138.03635,-138.03635
SU,D2,60.95493,138.03669,-138.03669
SU,D3,60.95471,138.03709,-138.03709
SU,D4,60.9545,138.03742,-138.03742
SU,D5,60.95429,138.03778,-138.03778
SU,D6,60.95407,138.03816,-138.03816
SU,D7,60.95386,138.03846,-138.03846
SU,D8,60.95364,138.03888,-138.03888
SU,D9,60.95343,138.03918,-138.03918
SU,D10,60.95318,138.03961,-138.03961
SU,D11,60.95297,138.03992,-138.03992
SU,D12,60.95278,138.04023,-138.04023
SU,D13,60.9525,138.04065,-138.04065
SU,D14,60.95229,138.04101,-138.04101
SU,D15,60.9521,138.0413,-138.0413
SU,D16,60.95185,138.04168,-138.04168
SU,D17,60.95163,138.04203,-138.04203
SU,D18,60.95139,138.04236,-138.04236
SU,D19,60.95115,138.04269,-138.04269
SU,D20,60.95096,138.04303,-138.04303
SU,E1,60.95529,138.03683,-138.03683
SU,E2,60.95516,138.03705,-138.03705
SU,E3,60.95491,138.03741,-138.03741
SU,E4,60.9547,138.03776,-138.03776
SU,E5,60.95445,138.03815,-138.03815
SU,E6,60.95426,138.03849,-138.03849
SU,E7,60.95407,138.0388,-138.0388
SU,E8,60.95375,138.03923,-138.03923
SU,E9,60.95357,138.03954,-138.03954
SU,E10,60.95336,138.03985,-138.03985
SU,E11,60.95314,138.04028,-138.04028
SU,E12,60.95293,138.04066,-138.04066
SU,E13,60.9527,138.04092,-138.04092
SU,E14,60.9525,138.04139,-138.04139
SU,E15,60.95227,138.04164,-138.04164
SU,E16,60.95205,138.04205,-138.04205
SU,E17,60.95187,138.04242,-138.04242
SU,E18,60.9516,138.04264,-138.04264
SU,E19,60.9514,138.04311,-138.04311
SU,E20,60.95114,138.04345,-138.04345
SU,F1,60.95544,138.03734,-138.03734
SU,F2,60.9552,138.03767,-138.03767
SU,F3,60.95498,138.03796,-138.03796
SU,F4,60.95468,138.0384,-138.0384
SU,F5,60.95446,138.03873,-138.03873
SU,F6,60.95429,138.03906,-138.03906
SU,F7,60.95413,138.03939,-138.03939
SU,F8,60.95385,138.0397,-138.0397
SU,F9,60.95366,138.04003,-138.04003
SU,F10,60.95347,138.04041,-138.04041
SU,F11,60.95322,138.04073,-138.04073
SU,F12,60.95299,138.04107,-138.04107
SU,F13,60.95278,138.04145,-138.04145
SU,F14,60.95261,138.04179,-138.04179
SU,F15,60.95239,138.04204,-138.04204
SU,F16,60.95216,138.04233,-138.04233
SU,F17,60.95191,138.04282,-138.04282
SU,F18,60.9517,138.04317,-138.04317
SU,F19,60.95152,138.04337,-138.04337
SU,F20,60.95133,138.04377,-138.04377
SU,G1,60.95563,138.03767,-138.03767
SU,G2,60.95542,138.03796,-138.03796
SU,G3,60.95518,138.03834,-138.03834
SU,G4,60.95501,138.03865,-138.03865
SU,G5,60.95478,138.03898,-138.03898
SU,G6,60.95463,138.03924,-138.03924
SU,G7,60.9543,138.03967,-138.03967
SU,G8,60.95411,138.03998,-138.03998
SU,G9,60.95389,138.04035,-138.04035
SU,G10,60.95364,138.04075,-138.04075
SU,G11,60.95348,138.04098,-138.04098
SU,G12,60.95319,138.04141,-138.04141
SU,G13,60.95301,138.04169,-138.04169
SU,G14,60.95271,138.04209,-138.04209
SU,G15,60.95253,138.04241,-138.04241
SU,G16,60.9523,138.04279,-138.04279
SU,G17,60.95209,138.04306,-138.04306
SU,G18,60.95189,138.04346,-138.04346
SU,G19,60.95167,138.04372,-138.04372
SU,G20,60.95147,138.04406,-138.04406
SU,H1,60.95577,138.03825,-138.03825
SU,H2,60.95558,138.03851,-138.03851
SU,H3,60.95535,138.03888,-138.03888
SU,H4,60.95511,138.03921,-138.03921
SU,H5,60.95493,138.03952,-138.03952
SU,H6,60.95469,138.03988,-138.03988
SU,H7,60.95447,138.04013,-138.04013
SU,H8,60.95427,138.04046,-138.04046
SU,H9,60.95404,138.04082,-138.04082
SU,H10,60.95379,138.04121,-138.04121
SU,H11,60.95356,138.04147,-138.04147
SU,H12,60.95337,138.0418,-138.0418
SU,H13,60.95309,138.04215,-138.04215
SU,H14,60.95292,138.04249,-138.04249
SU,H15,60.95267,138.04278,-138.04278
SU,H16,60.9525,138.04312,-138.04312
SU,H17,60.95224,138.04348,-138.04348
SU,H18,60.95205,138.04379,-138.04379
SU,H19,60.95181,138.04411,-138.04411
SU,H20,60.95161,138.04446,-138.04446
SU,I1,60.95599,138.03864,-138.03864
SU,I2,60.95575,138.03892,-138.03892
SU,I3,60.95554,138.0393,-138.0393
SU,I4,60.95533,138.03965,-138.03965
SU,I5,60.95505,138.04007,-138.04007
SU,I6,60.95485,138.04032,-138.04032
SU,I7,60.95464,138.04068,-138.04068
SU,I8,60.95441,138.04098,-138.04098
SU,I9,60.95417,138.04138,-138.04138
SU,I10,60.95393,138.04175,-138.04175
SU,I11,60.95374,138.04202,-138.04202
SU,I12,60.95357,138.04227,-138.04227
SU,I13,60.95334,138.04261,-138.04261
SU,I14,60.95304,138.04305,-138.04305
SU,I15,60.9529,138.04332,-138.04332
SU,I16,60.95267,138.0436,-138.0436
SU,I17,60.95241,138.04405,-138.04405
SU,I18,60.95221,138.04435,-138.04435
SU,I19,60.952,138.04472,-138.04472
SU,I20,60.95177,138.04502,-138.04502
SU,J1,60.95612,138.03914,-138.03914
SU,J2,60.9559,138.03946,-138.03946
SU,J3,60.95561,138.03986,-138.03986
SU,J4,60.95538,138.04017,-138.04017
SU,J5,60.95513,138.04064,-138.04064
SU,J6,60.95495,138.04091,-138.04091
SU,J7,60.95474,138.04118,-138.04118
SU,J8,60.95453,138.04156,-138.04156
SU,J9,60.95432,138.04183,-138.04183
SU,J10,60.95406,138.04223,-138.04223
SU,J11,60.95383,138.04256,-138.04256
SU,J12,60.95361,138.04287,-138.04287
SU,J13,60.95343,138.04311,-138.04311
SU,J14,60.95319,138.04349,-138.04349
SU,J15,60.9529,138.04383,-138.04383
SU,J16,60.95271,138.04421,-138.04421
SU,J17,60.95253,138.0445,-138.0445
SU,J18,60.95229,138.04486,-138.04486
SU,J19,60.95209,138.04519,-138.04519
SU,K1,60.95626,138.03952,-138.03952
SU,K2,60.95606,138.03989,-138.03989
SU,K3,60.95586,138.04019,-138.04019
SU,K4,60.95568,138.0405,-138.0405
SU,K5,60.95541,138.04085,-138.04085
SU,K6,60.95521,138.04119,-138.04119
SU,K7,60.95503,138.04154,-138.04154
SU,K8,60.95478,138.0419,-138.0419
SU,K9,60.95461,138.04214,-138.04214
SU,K10,60.95436,138.04253,-138.04253
SU,K11,60.95416,138.04283,-138.04283
SU,K12,60.95393,138.04317,-138.04317
SU,K13,60.95359,138.04364,-138.04364
SU,K14,60.95342,138.04389,-138.04389
SU,K15,60.9532,138.04425,-138.04425
SU,K16,60.95301,138.04457,-138.04457
SU,K17,60.95278,138.04488,-138.04488
SU,K18,60.95257,138.04529,-138.04529
