reflo,locx,locy
J2,J.8,1.6
J2,J.0,2.0
J2,J.0,2.1
K.0.,K.6,0.4
K.0.,K.6,0.4
K.0.,K.5,0.5
K.10.,K.6,10.5
K.15,K.7,14.9
K.15,K.7,14.9
K.15,K.5,15.0
K.15.,K.5,15.5
K.15.,K.2,15.5
K.17,K.8,17.0
K.17,K.8,17.0
K.18.,K.5,18.5
K.20,K.3,20.0
K.20,K.5,20.0
K.20,K.2,20.3
K.20,K.5,20.5
K1.,K.0,1.5
K1.,J.8,1.6
K13,K.0,13.0
K14,K.1,14.0
K15.,K.2,15.5
K17.,K.0,17.5
K17.,K.1,17.5
K19,K.0,19.0
K19,K.1,19.1
K19,K.1,19.3
K3,K.0,3.1
K6,K.0,5.9
K6,K.0,6.0
K6,K.0,6.2
K6,K.0,6.2
K7.,K.0,7.5
K7.,K.1,7.6
K7.,K.1,7.6
L.0.,L.1,0.5
L.0.,L.5,0.5
L.0.,L.1,0.5
L.1,L.5,0.9
L.1,L.5,0.9
L.1,L.5,1.0
L.12,L.2,12.0
L.12,L.3,12.0
L.12,L.5,12.0
L.15,L.6,15.0
L.15,L.6,15.0
L.17,L.3,16.8
L.17,L.3,16.8
L.17,L.5,17.0
L.3,L.7,3.0
L.3.,L.5,3.2
L.3.,L.5,3.5
L1.,L.5,0.9
L10,L.9,9.8
L10,K.9,9.8
L10,L.0,10.0
L11,L.6,10.5
L11,K.6,10.5
L11,L.0,11.0
L13.,L.2,13.5
L15.,L.2,15.5
L17,L.3,16.8
L2.,L.1,2.5
L3.,L.1,3.7
L4,L.0,4.0
L6,K.9,5.9
L6,L.0,5.9
L8,K.9,7.0
L9,K.8,8.7
L9,L.0,9.0
M.0.,M.5,0.5
M.1.,M.5,1.5
M.12.,M.6,12.4
M.12.,M.6,12.4
M.12.,M.6,12.5
M.12.,M.5,12.5
M.14,M.2,14.4
M.15,M.7,14.9
M.15,M.7,14.9
M.15,M.7,14.9
M.15,M.5,15.0
M.8,M.6,7.9
M.8,M.6,7.9
M.8,M.5,8.0
M10,M.1,10.0
M10,M.0,10.0
M10,M.1,10.1
M10,M.1,10.1
M14,L.8,13.9
M14,L.8,13.9
M14,M.0,14.0
M15,M.7,14.9
M15,M.0,15.0
M7,M.0,7.0
M7,L.9,7.1
M7,L.9,7.1
M8.,L.9,8.2
M8.,M.1,8.3
M8.,M.0,8.5
M9,M.0,9.0
N.0,N.5,0.0
N.10.,N.3,10.5
N.12,N.7,12.0
N.13,N.3,12.8
N.16.,N.5,16.5
N.2.,N.4,2.4
N.2.,N.2,2.4
N.2.,N.4,2.4
N.2.,N.5,2.5
N.6.,N.7,6.4
N.6.,N.7,6.4
N.6.,N.7,6.4
N.6.,N.3,6.4
N1.,N.1,1.3
N1.,N.0,1.4
N1.,N.0,1.5
N3.,N.2,3.4
N6,N.0,5.9
N6,N.1,6.0
N6,N.0,6.0
N6,N.1,6.0
N6,N.0,6.0
N6,N.9,6.1
N8.,N.0,8.5
N8.,N.0,8.6
N8.,N.0,8.7
N8.,N.0,8.7
N9,N.0,9.0
O.10,O.7,9.9
O.2,O.5,2.0
O.2,O.5,2.0
O.2,O.5,2.0
O.2.,O.2,2.3
O.2.,O.3,2.5
O.2.,O.3,2.5
O.2.,O.5,2.5
O.4,O.5,4.4
O.7.,O.5,7.4
O.8,O.7,8.0
O.8,O.5,8.0
O.8,O.7,8.0
O.8,O.7,8.1
O.8.,O.6,8.7
O1,O.0,1.0
O1,O.0,1.0
O10.,O.2,10.8
O4.,O.0,4.4
O4.,O.0,4.5
O5,O.0,5.0
O5,N.8,5.0
O6,O.2,6.2
O6,O.5,6.4
O6,O.0,6.4
O6,O.5,6.4
O8,O.2,8.2
P1,P.0,0.5
P1,P.1,0.5
P1,P.0,0.5
P1,P.2,0.5
P1,P.0,1.0
P2.,P.0,2.7
P3,P.0,2.7
P3,P.0,3.0
P9,P.0,9.0
P9,P.0,9.0
Q3,Q.1,3.0
Q3,Q.0,3.0
